Date,Open,High,Low,Close,Adj Close,Volume
2024-12-20,248.04,255.00,245.69,254.49,253.59,"147,495,300"
2024-12-19,247.50,252.00,247.09,249.79,248.91,"60,882,300"
2024-12-18,252.16,254.28,247.74,248.05,247.17,"56,774,100"
2024-12-17,250.08,253.83,249.78,253.48,252.58,"51,356,400"
2024-12-16,247.99,251.38,247.65,251.04,250.15,"51,694,800"
2024-12-13,247.82,249.29,246.24,248.13,247.25,"33,155,300"
2024-12-12,246.89,248.74,245.68,247.96,247.08,"32,777,500"
2024-12-11,247.96,250.80,246.26,246.49,245.62,"45,205,800"
2024-12-10,246.89,248.21,245.34,247.77,246.89,"36,914,800"
2024-12-09,241.83,247.24,241.75,246.75,245.88,"44,649,200"
2024-12-06,242.91,244.63,242.08,242.84,241.98,"36,870,600"
2024-12-05,243.99,244.54,242.13,243.04,242.18,"40,033,900"
2024-12-04,242.87,244.11,241.25,243.01,242.15,"44,383,900"
2024-12-03,239.81,242.76,238.90,242.65,241.79,"38,861,000"
2024-12-02,237.27,240.79,237.16,239.59,238.74,"48,137,100"
2024-11-29,234.81,237.81,233.97,237.33,236.49,"28,481,400"
2024-11-27,234.47,235.69,233.81,234.93,234.10,"33,498,400"
2024-11-26,233.33,235.57,233.33,235.06,234.23,"45,986,200"
2024-11-25,231.46,233.25,229.74,232.87,232.05,"90,152,800"
2024-11-22,228.06,230.72,228.06,229.87,229.06,"38,168,300"
2024-11-21,228.88,230.16,225.71,228.52,227.71,"42,108,300"
2024-11-20,228.06,229.93,225.89,229.00,228.19,"35,169,600"
2024-11-19,226.98,230.16,226.66,228.28,227.47,"36,211,800"
2024-11-18,225.25,229.74,225.17,228.02,227.21,"44,633,700"
2024-11-15,226.40,226.92,224.27,225.00,224.20,"47,923,700"
2024-11-14,225.02,228.87,225.00,228.22,227.41,"44,923,900"
2024-11-13,224.01,226.65,222.76,225.12,224.32,"48,566,200"
2024-11-12,224.55,225.59,223.36,224.23,223.44,"40,398,300"
2024-11-11,225.00,225.70,221.50,224.23,223.44,"42,005,600"
